id,intent,text_raw,word_count,intent_display
q_000077,irrigation_et_eau,هل تسوية الأرض تساعد على كفاءة الري؟,7,irrigation_et_eau
q_000078,irrigation_et_eau,كيف تؤثر الميلان في الحقل على توزيع الماء؟,8,irrigation_et_eau
q_000079,irrigation_et_eau,ما أفضل طريقة لري الأراضي المنحدرة؟,6,irrigation_et_eau
q_000080,irrigation_et_eau,هل الري بالخطوط Furrow مناسب للتربة الثقيلة؟,7,irrigation_et_eau
q_000081,irrigation_et_eau,كيف أحدد طول الخطوط في الري السطحي؟,7,irrigation_et_eau
q_000082,irrigation_et_eau,كيف أقلل الفقد بالتسرب في القنوات؟,6,irrigation_et_eau
q_000083,irrigation_et_eau,هل تبطين القنوات مفيد لتوفير الماء؟,6,irrigation_et_eau
q_000084,irrigation_et_eau,كيف أتعامل مع تسربات الأنابيب في الشبكة؟,7,irrigation_et_eau
q_000085,irrigation_et_eau,كيف أكتشف تسريب ماء تحت التربة؟,6,irrigation_et_eau
q_000086,irrigation_et_eau,كيف أبرمج الري الآلي بالتايمر؟,5,irrigation_et_eau
q_000087,irrigation_et_eau,ما أخطاء جدولة الري الأكثر شيوعًا؟,6,irrigation_et_eau
q_000088,irrigation_et_eau,كيف أفرق بين الذبول بسبب العطش والذبول بسبب المرض؟,9,irrigation_et_eau
q_000089,irrigation_et_eau,هل زيادة الري تعالج الذبول دائمًا؟,6,irrigation_et_eau
q_000090,irrigation_et_eau,كيف يؤثر الري الزائد على الأكسجين في التربة؟,8,irrigation_et_eau
q_000091,irrigation_et_eau,هل الري الزائد يسبب تعفن الجذور؟,6,irrigation_et_eau
q_000092,irrigation_et_eau,كيف أعالج تعفن الجذور المرتبط بزيادة الري؟,7,irrigation_et_eau
q_000093,irrigation_et_eau,كيف أعدل الري بعد التسميد؟,5,irrigation_et_eau
q_000094,irrigation_et_eau,هل يجب الري مباشرة بعد إضافة السماد؟,7,irrigation_et_eau
q_000095,irrigation_et_eau,كيف أطبق التسميد عبر الري Fertigation؟,6,irrigation_et_eau
q_000096,irrigation_et_eau,ما أفضل توقيت للتسميد عبر التنقيط؟,6,irrigation_et_eau
q_000097,irrigation_et_eau,هل يؤثر التسميد على انسداد النقاطات؟,6,irrigation_et_eau
q_000098,irrigation_et_eau,كيف أغسل الشبكة بعد الحقن بالسماد؟,6,irrigation_et_eau
q_000099,irrigation_et_eau,كيف أستخدم حمض لتنظيف شبكة التنقيط بأمان؟,7,irrigation_et_eau
q_000100,irrigation_et_eau,متى أحتاج كلورة مياه الري؟,5,irrigation_et_eau
q_000101,irrigation_et_eau,كيف أطبق الكلورة لمنع نمو الطحالب؟,6,irrigation_et_eau
q_000102,irrigation_et_eau,هل يمكن استخدام مياه الصرف المعالجة للري؟,7,irrigation_et_eau
q_000103,irrigation_et_eau,ما احتياطات ري الخضار بمياه معالجة؟,6,irrigation_et_eau
q_000104,irrigation_et_eau,كيف أضمن سلامة الغذاء عند استخدام مياه غير تقليدية؟,9,irrigation_et_eau
q_000105,irrigation_et_eau,كيف أختار نوع الرشاش المناسب للحقل؟,6,irrigation_et_eau
q_000106,irrigation_et_eau,ما الفرق بين الرش الثابت والبيفوت؟,6,irrigation_et_eau
q_000107,irrigation_et_eau,هل البيفوت مناسب للمحاصيل الحقلية فقط؟,6,irrigation_et_eau
q_000108,irrigation_et_eau,كيف أقلل الانجراف بالرش مع الرياح؟,6,irrigation_et_eau
q_000109,irrigation_et_eau,كيف أضبط زاوية الرشاش لتوزيع متجانس؟,6,irrigation_et_eau
q_000110,irrigation_et_eau,كيف أقيس تجانس توزيع الماء DU؟,6,irrigation_et_eau
q_000111,irrigation_et_eau,ما قيمة التجانس المقبولة في التنقيط؟,6,irrigation_et_eau
q_000112,irrigation_et_eau,كيف أقيس تجانس الرش في الحقل؟,6,irrigation_et_eau
q_000113,irrigation_et_eau,هل اختلاف الضغط يسبب عدم تجانس الري؟,7,irrigation_et_eau
q_000114,irrigation_et_eau,كيف أستخدم منظمات الضغط؟,4,irrigation_et_eau
q_000115,irrigation_et_eau,كيف أحمي الشبكة من المطرقة المائية؟,6,irrigation_et_eau
q_000116,irrigation_et_eau,هل تركيب صمامات هواء ضروري؟,5,irrigation_et_eau
q_000117,irrigation_et_eau,أين أضع صمامات الهواء في الشبكة؟,6,irrigation_et_eau
q_000118,irrigation_et_eau,كيف أحمي الأنابيب من الشمس والحرارة؟,6,irrigation_et_eau
q_000119,irrigation_et_eau,هل يجب دفن الأنابيب الرئيسية؟,5,irrigation_et_eau
q_000120,irrigation_et_eau,كيف أختار سماكة الأنابيب المناسبة؟,5,irrigation_et_eau
q_000121,irrigation_et_eau,ما أفضل مادة أنابيب للري PVC أم PE؟,8,irrigation_et_eau
q_000122,irrigation_et_eau,كيف أتعامل مع انكسار الأنابيب أثناء التشغيل؟,7,irrigation_et_eau
q_000123,irrigation_et_eau,هل يمكن ري الأشجار الصغيرة مثل الأشجار الكبيرة؟,8,irrigation_et_eau
q_000124,irrigation_et_eau,كم كمية الماء المناسبة لري الشتلات الجديدة؟,7,irrigation_et_eau
q_000125,irrigation_et_eau,كيف أزيد الري تدريجيًا مع نمو النبات؟,7,irrigation_et_eau
q_000126,irrigation_et_eau,كيف أسقي البذور بعد الزراعة مباشرة؟,6,irrigation_et_eau
q_000127,irrigation_et_eau,هل الري الغزير بعد الزراعة يضر الإنبات؟,7,irrigation_et_eau
q_000128,irrigation_et_eau,كيف أحافظ على رطوبة سطح التربة للإنبات؟,7,irrigation_et_eau
q_000129,irrigation_et_eau,هل الرش الخفيف أفضل لمرحلة الإنبات؟,6,irrigation_et_eau
q_000130,irrigation_et_eau,كيف أتعامل مع تشقق سطح التربة بعد الري؟,8,irrigation_et_eau
q_000131,irrigation_et_eau,هل إضافة المادة العضوية تقلل احتياج الري؟,7,irrigation_et_eau
q_000132,irrigation_et_eau,كيف تؤثر الملوحة على تكرار الري؟,6,irrigation_et_eau
q_000133,irrigation_et_eau,هل يجب زيادة الري لتخفيف أثر الملوحة؟,7,irrigation_et_eau
q_000134,irrigation_et_eau,ما مخاطر زيادة الري مع مياه مالحة؟,7,irrigation_et_eau
q_000135,irrigation_et_eau,كيف أجدول الري لمحصول القمح؟,5,irrigation_et_eau
q_000136,irrigation_et_eau,كم مرة أسقي القمح في مرحلة التفريع؟,7,irrigation_et_eau
q_000137,irrigation_et_eau,كم مرة أسقي القمح في مرحلة الإزهار؟,7,irrigation_et_eau
q_000138,irrigation_et_eau,كمية الماء المناسبة للقمح أثناء امتلاء الحبوب؟,7,irrigation_et_eau
q_000139,irrigation_et_eau,متى أوقف الري عن القمح قبل الحصاد؟,7,irrigation_et_eau
q_000140,irrigation_et_eau,كيف أجدول الري للشعير؟,4,irrigation_et_eau
q_000141,irrigation_et_eau,كيف أجدول الري للذرة؟,4,irrigation_et_eau
q_000142,irrigation_et_eau,كم مرة أسقي الذرة في مرحلة الحرير؟,7,irrigation_et_eau
q_000143,irrigation_et_eau,هل نقص الري في الذرة يقلل الإنتاج كثيرًا؟,8,irrigation_et_eau
q_000144,irrigation_et_eau,كيف أجدول الري للأرز؟,4,irrigation_et_eau
q_000145,irrigation_et_eau,هل الأرز يحتاج غمر دائم أم ري متقطع؟,8,irrigation_et_eau
q_000146,irrigation_et_eau,كيف أجدول الري للبطاطس؟,4,irrigation_et_eau
q_000147,irrigation_et_eau,كمية الماء المناسبة للبطاطس عند تكوين الدرنات؟,7,irrigation_et_eau
q_000148,irrigation_et_eau,هل الري الزائد يسبب تشقق درنات البطاطس؟,7,irrigation_et_eau
q_000149,irrigation_et_eau,كيف أجدول الري للطماطم؟,4,irrigation_et_eau
q_000150,irrigation_et_eau,كم مرة أسقي الطماطم في مرحلة الإزهار؟,7,irrigation_et_eau
q_000151,irrigation_et_eau,كيف أعدل ري الطماطم لتجنب تشقق الثمار؟,7,irrigation_et_eau
q_000152,irrigation_et_eau,هل عدم انتظام الري يسبب تعفن الطرف الزهري؟,8,irrigation_et_eau
q_000153,irrigation_et_eau,كيف أجدول الري للفلفل؟,4,irrigation_et_eau
q_000154,irrigation_et_eau,كيف أجدول الري للخيار؟,4,irrigation_et_eau
q_000155,irrigation_et_eau,هل الخيار يحتاج ريًا متقاربًا؟,5,irrigation_et_eau
q_000156,irrigation_et_eau,كيف أجدول الري للباذنجان؟,4,irrigation_et_eau
q_000157,irrigation_et_eau,كيف أجدول الري للكوسة؟,4,irrigation_et_eau
q_000158,irrigation_et_eau,كيف أجدول الري للبصل؟,4,irrigation_et_eau
q_000159,irrigation_et_eau,هل البصل حساس للري الزائد؟,5,irrigation_et_eau
q_000160,irrigation_et_eau,متى أوقف الري عن البصل قبل القلع؟,7,irrigation_et_eau
q_000161,irrigation_et_eau,كيف أجدول الري للثوم؟,4,irrigation_et_eau
q_000162,irrigation_et_eau,كيف أجدول الري للجزر؟,4,irrigation_et_eau
q_000163,irrigation_et_eau,هل الري الغزير يسبب تفرع الجزر؟,6,irrigation_et_eau
q_000164,irrigation_et_eau,كيف أجدول الري للخس؟,4,irrigation_et_eau
q_000165,irrigation_et_eau,هل الخس يحتاج رطوبة ثابتة؟,5,irrigation_et_eau
q_000166,irrigation_et_eau,كيف أجدول الري للسبانخ؟,4,irrigation_et_eau
q_000167,irrigation_et_eau,كيف أجدول الري للفاصوليا؟,4,irrigation_et_eau
q_000168,irrigation_et_eau,هل الفاصوليا تتأثر بنقص الري أثناء التزهير؟,7,irrigation_et_eau
q_000169,irrigation_et_eau,كيف أجدول الري للحمص؟,4,irrigation_et_eau
q_000170,irrigation_et_eau,كيف أجدول الري للعدس؟,4,irrigation_et_eau
q_000171,irrigation_et_eau,كيف أجدول الري للبازلاء؟,4,irrigation_et_eau
q_000172,irrigation_et_eau,كيف أجدول الري للبرسيم؟,4,irrigation_et_eau
q_000173,irrigation_et_eau,كم مرة أسقي البرسيم بعد الحش؟,6,irrigation_et_eau
q_000174,irrigation_et_eau,كيف أجدول الري للزيتون؟,4,irrigation_et_eau
q_000175,irrigation_et_eau,هل الزيتون يتحمل الري الناقص؟,5,irrigation_et_eau
q_000176,irrigation_et_eau,كم كمية الماء المناسبة للزيتون في الصيف؟,7,irrigation_et_eau
q_000177,irrigation_et_eau,كيف أجدول الري للعنب؟,4,irrigation_et_eau
q_000178,irrigation_et_eau,هل العنب يحتاج تقليل الري قبل النضج؟,7,irrigation_et_eau
q_000179,irrigation_et_eau,كيف أجدول الري للحمضيات؟,4,irrigation_et_eau
q_000180,irrigation_et_eau,كم مرة أسقي البرتقال في الحر؟,6,irrigation_et_eau
q_000181,irrigation_et_eau,هل الري الزائد يسبب اصفرار أوراق الحمضيات؟,7,irrigation_et_eau
q_000182,irrigation_et_eau,كيف أجدول الري للتفاح؟,4,irrigation_et_eau
q_000183,irrigation_et_eau,كيف أجدول الري للخوخ؟,4,irrigation_et_eau
q_000184,irrigation_et_eau,كيف أجدول الري للمشمش؟,4,irrigation_et_eau
q_000185,irrigation_et_eau,كيف أجدول الري للوز؟,4,irrigation_et_eau
q_000186,irrigation_et_eau,كيف أجدول الري للرمان؟,4,irrigation_et_eau
q_000187,irrigation_et_eau,كيف أجدول الري لنخيل التمر؟,5,irrigation_et_eau
q_000188,irrigation_et_eau,كم مرة أسقي النخيل في الصيف؟,6,irrigation_et_eau
q_000189,irrigation_et_eau,كيف أتعامل مع ري النخيل في التربة الرملية؟,8,irrigation_et_eau
q_000190,irrigation_et_eau,كيف أجدول الري للفراولة؟,4,irrigation_et_eau
q_000191,irrigation_et_eau,هل الفراولة تحتاج تنقيط متعدد يوميًا؟,6,irrigation_et_eau
q_000192,irrigation_et_eau,كيف أجدول الري للبطيخ؟,4,irrigation_et_eau
q_000193,irrigation_et_eau,كيف أجدول الري للشمام؟,4,irrigation_et_eau
q_000194,irrigation_et_eau,هل تقليل الري قبل حصاد البطيخ يحسن الطعم؟,8,irrigation_et_eau
q_000195,irrigation_et_eau,كيف أجدول الري للموز؟,4,irrigation_et_eau
q_000196,irrigation_et_eau,هل الموز يحتاج مياه كثيرة طوال الموسم؟,7,irrigation_et_eau
q_000197,irrigation_et_eau,كيف أضبط الري في البيوت البلاستيكية؟,6,irrigation_et_eau
q_000198,irrigation_et_eau,هل الري داخل الدفيئة يختلف عن الحقل المكشوف؟,8,irrigation_et_eau
q_000199,irrigation_et_eau,كيف أستخدم التنقيط في البيوت البلاستيكية؟,6,irrigation_et_eau
q_000200,irrigation_et_eau,كيف أتحكم في الرطوبة لتجنب الأمراض في الدفيئة؟,8,irrigation_et_eau
q_000201,irrigation_et_eau,هل أزيد الري عند ارتفاع الرطوبة الجوية؟,7,irrigation_et_eau
q_000202,irrigation_et_eau,كيف أوازن بين الري والتهوية في الدفيئة؟,7,irrigation_et_eau
q_000203,irrigation_et_eau,كيف أستخدم الري الضبابي للتبريد؟,5,irrigation_et_eau
q_000204,irrigation_et_eau,متى أستخدم الرش للتبريد وليس للري؟,6,irrigation_et_eau
q_000205,irrigation_et_eau,هل الرش أثناء الحر يقلل إجهاد النبات؟,7,irrigation_et_eau
q_000206,irrigation_et_eau,كيف أتجنب حروق الأوراق عند الرش؟,6,irrigation_et_eau
q_000207,irrigation_et_eau,هل نوعية الماء تؤثر على انسداد المرشات؟,7,irrigation_et_eau
q_000208,irrigation_et_eau,كيف أتعامل مع رواسب الكلس في شبكة الري؟,8,irrigation_et_eau
q_000209,irrigation_et_eau,هل إضافة حامض تمنع ترسب الكربونات؟,6,irrigation_et_eau
q_000210,irrigation_et_eau,ما العلامات التي تدل على ترسبات داخل الأنابيب؟,8,irrigation_et_eau
q_000211,irrigation_et_eau,كيف أختبر ماء الري قبل الموسم؟,6,irrigation_et_eau
q_000212,irrigation_et_eau,كيف أقرأ تقرير تحليل ماء الري؟,6,irrigation_et_eau
q_000213,irrigation_et_eau,ما أهم مؤشرات تحليل ماء الري للمزارع؟,7,irrigation_et_eau
q_000214,irrigation_et_eau,كيف يؤثر الصوديوم SAR على التربة والري؟,7,irrigation_et_eau
q_000215,irrigation_et_eau,كيف أعالج مشكلة الصوديوم المرتفع في مياه الري؟,8,irrigation_et_eau
q_000216,irrigation_et_eau,هل الجبس الزراعي يساعد مع مياه غنية بالصوديوم؟,8,irrigation_et_eau
q_000217,irrigation_et_eau,كيف أعدل الري عند استخدام الجبس؟,6,irrigation_et_eau
q_000218,irrigation_et_eau,كيف أحسب الاحتياج المائي باللتر لكل شجرة؟,7,irrigation_et_eau
q_000219,irrigation_et_eau,كيف أحسب احتياج الري بالمتر المكعب للهكتار؟,7,irrigation_et_eau
q_000220,irrigation_et_eau,كيف أحول تصريف النقاطة إلى لتر/ساعة؟,6,irrigation_et_eau
q_000221,irrigation_et_eau,كيف أحسب زمن تشغيل التنقيط إذا كان التصريف 4 لتر/ساعة؟,10,irrigation_et_eau
q_000222,irrigation_et_eau,كيف أضبط الري إذا كانت النقاطات 2 لتر/ساعة؟,8,irrigation_et_eau
q_000223,irrigation_et_eau,كيف أتعامل مع اختلاف تصريف النقاطات داخل الشبكة؟,8,irrigation_et_eau
q_000224,irrigation_et_eau,هل استخدام نقاطات تعويض الضغط أفضل؟,6,irrigation_et_eau
q_000225,irrigation_et_eau,متى أستخدم نقاطات PC؟,4,irrigation_et_eau
q_000226,irrigation_et_eau,كيف أختار عدد النقاطات لكل شجرة؟,6,irrigation_et_eau
q_000227,irrigation_et_eau,هل نقطة واحدة تكفي للشجرة الصغيرة؟,6,irrigation_et_eau
q_000228,irrigation_et_eau,متى أزيد عدد النقاطات للشجرة الكبيرة؟,6,irrigation_et_eau
q_000229,irrigation_et_eau,كيف أوزع النقاطات حول محيط الشجرة؟,6,irrigation_et_eau
q_000230,irrigation_et_eau,هل الري قرب الجذع مناسب أم بعيد قليلًا؟,8,irrigation_et_eau
q_000231,irrigation_et_eau,كيف أوسع منطقة البلل مع نمو الشجرة؟,7,irrigation_et_eau
q_000232,irrigation_et_eau,هل الري العميق أفضل للأشجار؟,5,irrigation_et_eau
q_000233,irrigation_et_eau,كم تكرار الري العميق للأشجار المثمرة؟,6,irrigation_et_eau
q_000234,irrigation_et_eau,كيف أتعامل مع الري عند وجود طبقة صماء Hardpan؟,9,irrigation_et_eau
q_000235,irrigation_et_eau,هل الحراثة العميقة تحسن كفاءة الري؟,6,irrigation_et_eau
q_000236,irrigation_et_eau,كيف أستخدم اختبار الحفر لتقييم عمق البلل؟,7,irrigation_et_eau
q_000237,irrigation_et_eau,ما أفضل طريقة بسيطة لقياس رطوبة التربة يدويًا؟,8,irrigation_et_eau
q_000238,irrigation_et_eau,كيف أستخدم التنسومتر لجدولة الري؟,5,irrigation_et_eau
q_000239,irrigation_et_eau,ما القراءة المناسبة للتنسومتر لبدء الري؟,6,irrigation_et_eau
q_000240,irrigation_et_eau,كيف أستخدم جهاز قياس EC للتربة أثناء الري؟,8,irrigation_et_eau
q_000241,irrigation_et_eau,هل يمكن أن تسبب الرياح عدم انتظام البلل في الرش؟,10,irrigation_et_eau
q_000242,irrigation_et_eau,كيف أختار فوهات الرشاش لتقليل الانجراف؟,6,irrigation_et_eau
q_000243,irrigation_et_eau,كيف أوزع الرشاشات لتغطية كاملة؟,5,irrigation_et_eau
q_000244,irrigation_et_eau,ما المسافة المناسبة بين الرشاشات؟,5,irrigation_et_eau
q_000245,irrigation_et_eau,كيف أتعامل مع بقع جافة داخل الحقل؟,7,irrigation_et_eau
q_000246,irrigation_et_eau,كيف أحدد سبب البقع الجافة هل هو انسداد أم ضغط؟,10,irrigation_et_eau
q_000247,irrigation_et_eau,كيف أراقب استهلاك الماء اليومي للمزرعة؟,6,irrigation_et_eau
q_000248,irrigation_et_eau,هل تركيب عداد ماء يساعد على الإدارة؟,7,irrigation_et_eau
q_000249,irrigation_et_eau,كيف أكتشف التسرب من خلال العداد؟,6,irrigation_et_eau
q_000250,irrigation_et_eau,كيف أحسب كلفة الري لكل هكتار؟,6,irrigation_et_eau
q_000251,irrigation_et_eau,كيف أخفض كلفة الري دون خفض الإنتاج؟,7,irrigation_et_eau
q_000252,irrigation_et_eau,هل تغيير طريقة الري يقلل التكاليف؟,6,irrigation_et_eau
q_000253,irrigation_et_eau,كيف أقرر الاستثمار في التنقيط بدل السطحي؟,7,irrigation_et_eau
q_000254,irrigation_et_eau,ما فترة استرداد تكلفة شبكة التنقيط؟,6,irrigation_et_eau
q_000255,irrigation_et_eau,كيف أحمي الشبكة من الأتربة والحشرات؟,6,irrigation_et_eau
q_000256,irrigation_et_eau,هل الفئران قد تقطع خراطيم التنقيط؟,6,irrigation_et_eau
q_000257,irrigation_et_eau,كيف أحمي خراطيم التنقيط من القوارض؟,6,irrigation_et_eau
q_000258,irrigation_et_eau,كيف أخزن خراطيم التنقيط بعد الموسم؟,6,irrigation_et_eau
q_000259,irrigation_et_eau,هل يجب تفريغ الأنابيب قبل الشتاء؟,6,irrigation_et_eau
q_000260,irrigation_et_eau,كيف أحمي الشبكة من التجمد في المناطق الباردة؟,8,irrigation_et_eau
q_000261,irrigation_et_eau,كيف أتعامل مع ري الشتاء للمحاصيل؟,6,irrigation_et_eau
q_000262,irrigation_et_eau,هل الري في الشتاء أقل تكرارًا؟,6,irrigation_et_eau
q_000263,irrigation_et_eau,كيف أعدل الري عندما تكون السماء غائمة؟,7,irrigation_et_eau
q_000264,irrigation_et_eau,هل الغيوم تقلل الاحتياج المائي؟,5,irrigation_et_eau
q_000265,irrigation_et_eau,كيف أتعامل مع موجة جفاف طويلة؟,6,irrigation_et_eau
q_000266,irrigation_et_eau,كيف أضع خطة طوارئ لنقص المياه؟,6,irrigation_et_eau
q_000267,irrigation_et_eau,ما أولويات الري عند نقص الماء؟,6,irrigation_et_eau
